time,Alumni_Hall_PCHWS_T value,CAFE_103_Indoor_Unit_50 localSetpoint,AHU_1 outdoorAirTemp,AHU_1 supplyAirTemp,AHU_1 supplyAirTempSetpoint,WeatherDataProfile humidity,MEMORIAL_HALL_202_Indoor_Unit_67 localSetpoint,Alumni_Hall_PCHW_Flow value,HW_BTU_METER currentKbtuDeltaReading,EXERCISE_ROOM_002_Indoor_Unit_1 localSetpoint,CORRIDOR_302_Indoor_Unit_30 localSetpoint,COORIDOR_006A_Indoor_Unit_34 localSetpoint,OFFICE_305_Indoor_Unit_74 localSetpoint,CHW_BTU_METER currentKbtuDeltaReading,HWSP_STPT value,CORRIDOR_108_Indoor_Unit_60 localSetpoint,MEETING_117A_Indoor_Unit_63 localSetpoint,HWS_T value,HX_Valve_1 valvePosition,OFFICE_115_Indoor_Unit_77 localSetpoint,CORRIDOR_203_Indoor_Unit_64 localSetpoint,TUTORING_010_Indoor_Unit_10 localSetpoint,ElectricMeterProfile currentKbtuDeltaReading,HWR_T value,CLASS_ROOM_201_Indoor_Unit_100 localSetpoint,LOUNGE_100_Indoor_Unit_40 localSetpoint,Hot_Water_Flow_AI_2 value,READING_ROOM_206_Indoor_Unit_108 localSetpoint,WRITING_STUDIO_113_Indoor_Unit_20 localSetpoint
2020-05-10 14:55:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,71.94880676269531,40.203182220458984,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0009712455794215202,95.8802719116211,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,13.531323432922363,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:00:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,70.48051452636719,39.8520393371582,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0009623207151889801,95.8802719116211,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:05:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,70.9623031616211,39.8520393371582,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0009651631116867065,95.8802719116211,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:10:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,71.96426391601562,39.72444534301758,72.0,0.00133918633218855,0.0,72.0,72.0,72.0,70.0,0.0012641334906220436,95.8802719116211,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,13.853565216064453,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:15:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,71.88246154785156,39.72444534301758,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0020426660776138306,95.8802719116211,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:20:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,72.0,39.550872802734375,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010767430067062378,95.4713897705078,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:25:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,71.90282440185547,39.550872802734375,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010821456089615822,95.4713897705078,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,13.47932243347168,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:30:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,72.0,38.54526901245117,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010485770180821419,95.0647201538086,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:35:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,72.0,37.62834548950195,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010841265320777893,95.0647201538086,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:40:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,71.56910705566406,37.545013427734375,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010822908952832222,94.6445770263672,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,13.623041152954102,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:45:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,72.0,37.545013427734375,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010822182521224022,94.1961517333984,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:50:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,72.0,36.9184455871582,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010821456089615822,94.1961517333984,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 15:55:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,72.0,36.453468322753906,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.001082180067896843,94.1961517333984,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,13.619765281677246,94.9695816040039,72.0,72.0,0.0,72.0,76.0
